# z LM (E,E) abs(P1) alpha
260.000000 11.474346 1.004184 0.266860 -0.018132
261.000000 11.484736 1.004196 0.266541 -0.018185
262.000000 11.494981 1.004208 0.266226 -0.018237
263.000000 11.505083 1.004220 0.265917 -0.018289
264.000000 11.515042 1.004232 0.265612 -0.018340
265.000000 11.524858 1.004244 0.265312 -0.018390
266.000000 11.534534 1.004255 0.265017 -0.018439
267.000000 11.544069 1.004266 0.264726 -0.018487
268.000000 11.553465 1.004277 0.264440 -0.018535
269.000000 11.562721 1.004288 0.264158 -0.018582
270.000000 11.571839 1.004299 0.263881 -0.018628
271.000000 11.580820 1.004309 0.263608 -0.018673
272.000000 11.589663 1.004319 0.263340 -0.018717
273.000000 11.598371 1.004329 0.263076 -0.018760
274.000000 11.606943 1.004339 0.262817 -0.018803
275.000000 11.615379 1.004349 0.262561 -0.018845
276.000000 11.623682 1.004358 0.262311 -0.018885
277.000000 11.631851 1.004367 0.262064 -0.018925
278.000000 11.639887 1.004376 0.261822 -0.018965
279.000000 11.647791 1.004385 0.261584 -0.019003
280.000000 11.655562 1.004394 0.261350 -0.019040
281.000000 11.663203 1.004402 0.261120 -0.019077
282.000000 11.670713 1.004411 0.260894 -0.019113
283.000000 11.678093 1.004419 0.260673 -0.019147
284.000000 11.685344 1.004427 0.260455 -0.019181
285.000000 11.692465 1.004434 0.260242 -0.019214
286.000000 11.699459 1.004442 0.260032 -0.019246
287.000000 11.706324 1.004449 0.259827 -0.019278
288.000000 11.713062 1.004456 0.259625 -0.019308
289.000000 11.719674 1.004463 0.259428 -0.019337
290.000000 11.726159 1.004469 0.259234 -0.019366
291.000000 11.732519 1.004476 0.259044 -0.019394
292.000000 11.738753 1.004482 0.258858 -0.019420
293.000000 11.744862 1.004488 0.258676 -0.019446
294.000000 11.750848 1.004494 0.258498 -0.019471
295.000000 11.756709 1.004499 0.258324 -0.019495
296.000000 11.762447 1.004505 0.258153 -0.019518
297.000000 11.768062 1.004510 0.257986 -0.019541
298.000000 11.773555 1.004515 0.257823 -0.019562
299.000000 11.778925 1.004519 0.257664 -0.019582
300.000000 11.784174 1.004524 0.257508 -0.019602
301.000000 11.789302 1.004528 0.257356 -0.019620
302.000000 11.794309 1.004532 0.257208 -0.019638
303.000000 11.799196 1.004536 0.257063 -0.019654
304.000000 11.803963 1.004540 0.256922 -0.019670
