# z LM (E,E) abs(P1) alpha
14.733333 28.870379 1.002082 0.036015 -0.009030
14.800000 28.559969 1.002057 0.037325 -0.008922
14.866667 28.278471 1.002032 0.038555 -0.008815
14.933333 28.024494 1.002007 0.039699 -0.008708
15.000000 27.796770 1.001983 0.040753 -0.008602
15.066667 27.594159 1.001959 0.041715 -0.008497
15.133333 27.415648 1.001935 0.042581 -0.008393
15.200000 27.260345 1.001911 0.043349 -0.008290
15.266667 27.127470 1.001887 0.044018 -0.008187
15.333333 27.016357 1.001864 0.044584 -0.008086
15.400000 26.926438 1.001841 0.045048 -0.007985
15.466667 26.857242 1.001818 0.045409 -0.007886
15.533333 26.808394 1.001795 0.045665 -0.007787
15.600000 26.779605 1.001773 0.045816 -0.007690
15.666667 26.770671 1.001750 0.045863 -0.007594
15.733333 26.781475 1.001728 0.045806 -0.007499
15.800000 26.811983 1.001707 0.045646 -0.007405
15.866667 26.862243 1.001685 0.045382 -0.007312
15.933333 26.932394 1.001664 0.045017 -0.007220
16.000000 27.022661 1.001643 0.044552 -0.007130
16.066667 27.133366 1.001623 0.043988 -0.007041
16.133333 27.264929 1.001603 0.043326 -0.006953
16.200000 27.417884 1.001583 0.042570 -0.006866
16.266667 27.592881 1.001563 0.041721 -0.006781
16.333333 27.790708 1.001544 0.040782 -0.006697
16.400000 28.012304 1.001525 0.039754 -0.006615
16.466667 28.258779 1.001506 0.038642 -0.006534
16.533333 28.531445 1.001488 0.037448 -0.006454
16.600000 28.831850 1.001470 0.036175 -0.006376
16.666667 29.161816 1.001452 0.034826 -0.006299
16.733333 29.523499 1.001434 0.033406 -0.006224
16.800000 29.919456 1.001417 0.031917 -0.006150
16.866667 30.352737 1.001401 0.030364 -0.006078
16.933333 30.827004 1.001384 0.028751 -0.006007
17.000000 31.346690 1.001368 0.027081 -0.005937
17.066667 31.917211 1.001353 0.025359 -0.005870
17.133333 32.545267 1.001337 0.023590 -0.005803
17.200000 33.239249 1.001323 0.021779 -0.005738
17.266667 34.009831 1.001308 0.019930 -0.005675
17.333333 34.870839 1.001294 0.018049 -0.005613
17.400000 35.840544 1.001280 0.016143 -0.005553
17.466667 36.943653 1.001266 0.014217 -0.005494
17.533333 38.214404 1.001253 0.012282 -0.005437
17.600000 39.701355 1.001240 0.010350 -0.005382
17.666667 41.474051 1.001228 0.008439 -0.005328
17.733333 43.627064 1.001216 0.006586 -0.005275
17.800000 46.242565 1.001204 0.004874 -0.005225
17.866667 49.059465 1.001193 0.003524 -0.005175
17.933333 50.280321 1.001182 0.003062 -0.005128
18.000000 48.369790 1.001171 0.003815 -0.005082
18.066667 45.556802 1.001161 0.005274 -0.005037
18.133333 43.102437 1.001151 0.006996 -0.004994
18.200000 41.097194 1.001141 0.008813 -0.004953
18.266667 39.444383 1.001132 0.010661 -0.004913
18.333333 38.055798 1.001123 0.012509 -0.004874
18.400000 36.868309 1.001115 0.014341 -0.004838
18.466667 35.837835 1.001107 0.016148 -0.004802
18.533333 34.933107 1.001099 0.017920 -0.004769
18.600000 34.131403 1.001092 0.019653 -0.004736
18.666667 33.415802 1.001084 0.021341 -0.004706
18.733333 32.773419 1.001078 0.022979 -0.004677
18.800000 32.194245 1.001071 0.024563 -0.004649
18.866667 31.670370 1.001065 0.026090 -0.004623
18.933333 31.195444 1.001060 0.027557 -0.004598
19.000000 30.764306 1.001054 0.028959 -0.004575
